angles_l,angles_r,torso_area,frame
183.92696802753582,183.92696802753582,1772.5794566058685,0
184.21705201079573,184.21705201079573,1844.5128532267627,1
183.55765785757237,183.55765785757237,1652.7829563022824,2
183.54864396593447,183.54864396593447,1663.1568523150927,3
184.2069413968874,184.2069413968874,1371.2044887960146,4
183.9143478997031,183.9143478997031,1260.7417224598612,5
181.31467883769002,181.31467883769002,1672.1329993438994,6
180.72226853600256,180.72226853600256,1844.3657889457536,7
180.6229260736006,180.6229260736006,1854.3890935586605,8
180.85147410261163,180.85147410261163,2058.9867289185786,9
181.6395019468654,181.6395019468654,1749.114254365748,10
182.924941953216,182.924941953216,1794.5891608296442,11
180.75896495582143,180.75896495582143,2072.024947902013,12
180.80793395861753,180.80793395861753,2079.187599758974,13
181.00724371754538,181.00724371754538,2027.1497730733681,14
179.19710940750437,179.19710940750437,2152.171694613724,15
175.66732475054573,175.66732475054573,2119.9884266115114,16
174.7593751381308,174.7593751381308,2397.748200472568,17
174.76669776295276,174.76669776295276,2399.745276548565,18
173.60116899812652,173.60116899812652,1973.2291612219706,19
163.43621133552605,163.43621133552605,1729.7546074051788,20
158.79190596406946,158.79190596406946,1541.4744505016715,21
154.26387911847152,154.26387911847152,1661.9778863574174,22
154.2330827491722,154.2330827491722,1650.4816714680346,23
148.3922551981171,148.3922551981171,1107.514551276603,24
146.1486823788473,146.1486823788473,1181.127894768404,25
138.47416044464907,138.47416044464907,1138.4173036585416,26
136.8209982090484,136.8209982090484,1677.1852085063147,27
136.76877472565818,136.76877472565818,1442.2772129220393,28
129.21713907993072,129.21713907993072,1364.745682032255,29
124.09544888538812,124.09544888538812,1325.2407997653936,30
118.32397357435667,118.32397357435667,1247.2696332029736,31
100.58348210499514,100.58348210499514,1089.6040761066834,32
100.12912330600824,100.12912330600824,1114.711818475189,33
92.81386094776309,92.81386094776309,1388.2952422826056,34
92.73867476479899,92.73867476479899,1627.908884374032,35
78.6768506437781,78.6768506437781,1742.9993513983645,36
83.05853172700068,83.05853172700068,1775.1451900141692,37
83.09367606337833,83.09367606337833,1780.4543192498531,38
110.11433036991588,110.11433036991588,1384.4537886204052,39
112.86988612984439,112.86988612984439,1591.482298263596,40
127.74110572085553,127.74110572085553,973.639470502807,41
157.20478984832494,157.20478984832494,1050.5054427491123,42
157.27788779089573,157.27788779089573,1052.7161656216922,43
137.57735634087948,137.57735634087948,1304.7326974954776,44
