grad,frame
0.09003341407106405,0
0.14082349810684036,1
0.13327903078313455,2
0.07373669272975007,3
0.04261164079632636,4
-0.04829058730811368,5
-0.4665080622622838,6
-1.2920378969426736,7
-1.2738588232743127,8
-2.0618905184561727,9
-3.883946502417848,10
-5.484230811135811,11
-7.351050995943839,12
-7.31752442477042,13
-9.038170329311436,14
-10.362759673804566,15
-11.485355711819832,16
-13.310215013069017,17
-12.602503927130448,18
-12.6278233109859,19
-12.065797270390021,20
-11.969823854011404,21
-12.986530036257026,22
-11.197010910301879,23
-10.278156096475163,24
-8.686339211045652,25
-6.834532018293413,26
-6.146207407901164,27
-4.344898357725981,28
-2.133230510510896,29
1.5954213560673225,30
4.151952241596422,31
5.995566719456724,32
6.837699153967071,33
9.373275924147226,34
11.5136794646581,35
12.90402254305388,36
14.829318498310291,37
13.645091843186758,38
13.775386743378224,39
13.109224403113652,40
12.59365777802049,41
13.365715344746906,42
11.199439023670394,43
9.749839471097578,44
8.065498460803113,45
6.582012343824954,46
6.544041650337087,47
4.443294525146484,48
3.5332886043347798,49
2.4252057661089994,50
1.5385187048661066,51
1.4328168484202621,52
0.7258049145079497,53
0.2305050230862804,54
-0.38718762314110505,55
-0.3311495864600488,56
-0.3371762058191138,57
-0.29330082943565117,58
-0.5147411948756172,59
-0.42840910794442094,60
-0.5793629696494662,61
-0.8332480045787094,62
-0.7336556284051199,63
-1.5655478761907204,64
-2.1864570483826755,65
-3.940821965535483,66
-5.63708266040735,67
-5.613881328649688,68
-7.392180292229904,69
-8.557396738152756,70
-10.334594391939934,71
-12.085170444689297,72
-11.113016446431477,73
-12.520900803699826,74
-12.713987818935461,75
-12.442482889744273,76
-14.051231083117031,77
-12.249154643008584,78
-11.895049446507503,79
-10.791045607182014,80
-9.792901256628204,81
-9.844317904689854,82
-7.809344632583754,83
-5.265661875406897,84
-2.7017985561437796,85
0.12170544005276725,86
1.7096615172269083,87
2.772177043714021,88
5.870384082459566,89
8.287016483775357,90
10.494105489630448,91
12.597906681529263,92
11.919506859361075,93
12.95410096017938,94
13.697243196922434,95
14.173900938870611,96
15.5506447239926,97
13.398672538891171,98
12.745304994415815,99
11.703208722566298,100
10.017027068556398,101
10.487275391294247,102
8.299326578776041,103
6.285696941509582,104
4.197852419133772,105
2.7695623698987446,106
2.720508374665914,107
1.7003320225498157,108
0.7773024575752145,109
0.2769272118283993,110
-0.07015857361910775,111
-0.008284987064828896,112
0.043822037546257776,113
0.0719031618352517,114
0.13115036278440187,115
-0.16150544819078902,116
-0.47178609747635675,117
-0.6399534125077111,118
-1.1343361703973074,119
-2.2583882515890537,120
-3.329589576051947,121
-5.077734160841556,122
-5.077567384954085,123
-6.853636959142852,124
-8.68187235112776,125
-10.322610135664018,126
